tau,Sstar,Vstar
1,69,31
0.999667,69,31
0.999333,69,31
0.999,69,31
0.998667,69,31
0.998333,69,31
0.998,69,31
0.997667,69,31
0.997333,69,31
0.997,69,31
0.996667,69,31
0.996333,69,31
0.996,69,31
0.995667,69,31
0.995333,69,31
0.995,69,31
0.994667,69,31
0.994333,69,31
0.994,69,31
0.993667,69,31
0.993333,69,31
0.993,69,31
0.992667,69,31
0.992333,69,31
0.992,69,31
0.991667,69,31
0.991333,69,31
0.991,69,31
0.990667,69,31
0.990333,69,31
0.99,69,31
0.989667,69.5,30.5
0.989333,69.5,30.5
0.989,69.5,30.5
0.988667,69.5,30.5
0.988333,69.5,30.5
0.988,69.5,30.5
0.987667,69.5,30.5
0.987333,69.5,30.5
0.987,69.5,30.5
0.986667,69.5,30.5
0.986333,69.5,30.5
0.986,69.5,30.5
0.985667,69.5,30.5
0.985333,69.5,30.5
0.985,69.5,30.5
0.984667,69.5,30.5
0.984333,69.5,30.5
0.984,69.5,30.5
0.983667,69.5,30.5
0.983333,69.5,30.5
0.983,69.5,30.5
0.982667,69.5,30.5
0.982333,69.5,30.5
0.982,69.5,30.5
0.981667,69.5,30.5
0.981333,69.5,30.5
0.981,69.5,30.5
0.980667,69.5,30.5
0.980333,69.5,30.5
0.98,69.5,30.5
0.979667,69.5,30.5
0.979333,69.5,30.5
0.979,69.5,30.5
0.978667,69.5,30.5
0.978333,69.5,30.5
0.978,69.5,30.5
0.977667,69.5,30.5
0.977333,69.5,30.5
0.977,69.5,30.5
0.976667,69.5,30.5
0.976333,69.5,30.5
0.976,69.5,30.5
0.975667,69.5,30.5
0.975333,69.5,30.5
0.975,69.5,30.5
0.974667,69.5,30.5
0.974333,69.5,30.5
0.974,69.5,30.5
0.973667,69.5,30.5
0.973333,69.5,30.5
0.973,69.5,30.5
0.972667,69.5,30.5
0.972333,69.5,30.5
0.972,69.5,30.5
0.971667,69.5,30.5
0.971333,69.5,30.5
0.971,69.5,30.5
0.970667,69.5,30.5
0.970333,69.5,30.5
0.97,69.5,30.5
0.969667,69.5,30.5
0.969333,69.5,30.5
0.969,69.5,30.5
0.968667,69.5,30.5
0.968333,69.5,30.5
0.968,69.5,30.5
0.967667,69.5,30.5
0.967333,69.5,30.5
0.967,69.5,30.5
0.966667,69.5,30.5
0.966333,69.5,30.5
0.966,69.5,30.5
0.965667,69.5,30.5
0.965333,69.5,30.5
0.965,69.5,30.5
0.964667,69.5,30.5
0.964333,69.5,30.5
0.964,69.5,30.5
0.963667,69.5,30.5
0.963333,69.5,30.5
0.963,69.5,30.5
0.962667,69.5,30.5
0.962333,69.5,30.5
0.962,69.5,30.5
0.961667,69.5,30.5
0.961333,69.5,30.5
0.961,69.5,30.5
0.960667,69.5,30.5
0.960333,69.5,30.5
0.96,69.5,30.5
0.959667,69.5,30.5
0.959333,69.5,30.5
0.959,69.5,30.5
0.958667,69.5,30.5
0.958333,69.5,30.5
0.958,69.5,30.5
0.957667,69.5,30.5
0.957333,69.5,30.5
0.957,69.5,30.5
0.956667,69.5,30.5
0.956333,69.5,30.5
0.956,69.5,30.5
0.955667,69.5,30.5
0.955333,69.5,30.5
0.955,69.5,30.5
0.954667,69.5,30.5
0.954333,69.5,30.5
0.954,69.5,30.5
0.953667,69.5,30.5
0.953333,69.5,30.5
0.953,69.5,30.5
0.952667,69.5,30.5
0.952333,69.5,30.5
0.952,69.5,30.5
0.951667,69.5,30.5
0.951333,69.5,30.5
0.951,69.5,30.5
0.950667,69.5,30.5
0.950333,69.5,30.5
0.95,69.5,30.5
0.949667,69.5,30.5
0.949333,69.5,30.5
0.949,69.5,30.5
0.948667,69.5,30.5
0.948333,69.5,30.5
0.948,69.5,30.5
0.947667,69.5,30.5
0.947333,69.5,30.5
0.947,69.5,30.5
0.946667,69.5,30.5
0.946333,69.5,30.5
0.946,69.5,30.5
0.945667,69.5,30.5
0.945333,69.5,30.5
0.945,69.5,30.5
0.944667,69.5,30.5
0.944333,69.5,30.5
0.944,69.5,30.5
0.943667,69.5,30.5
0.943333,69.5,30.5
0.943,69.5,30.5
0.942667,69.5,30.5
0.942333,69.5,30.5
0.942,69.5,30.5
0.941667,69.5,30.5
0.941333,69.5,30.5
0.941,69.5,30.5
0.940667,69.5,30.5
0.940333,69.5,30.5
0.94,69.5,30.5
0.939667,69.5,30.5
0.939333,69.5,30.5
0.939,69.5,30.5
0.938667,69.5,30.5
0.938333,69.5,30.5
0.938,69.5,30.5
0.937667,69.5,30.5
0.937333,69.5,30.5
0.937,69.5,30.5
0.936667,69.5,30.5
0.936333,69.5,30.5
0.936,69.5,30.5
0.935667,69.5,30.5
0.935333,69.5,30.5
0.935,69.5,30.5
0.934667,69.5,30.5
0.934333,69.5,30.5
0.934,69.5,30.5
0.933667,69.5,30.5
0.933333,69.5,30.5
0.933,69.5,30.5
0.932667,69.5,30.5
0.932333,69.5,30.5
0.932,69.5,30.5
0.931667,69.5,30.5
0.931333,69.5,30.5
0.931,69.5,30.5
0.930667,69.5,30.5
0.930333,69.5,30.5
0.93,69.5,30.5
0.929667,69.5,30.5
0.929333,69.5,30.5
0.929,69.5,30.5
0.928667,69.5,30.5
0.928333,69.5,30.5
0.928,69.5,30.5
0.927667,69.5,30.5
0.927333,69.5,30.5
0.927,69.5,30.5
0.926667,69.5,30.5
0.926333,69.5,30.5
0.926,69.5,30.5
0.925667,69.5,30.5
0.925333,69.5,30.5
0.925,69.5,30.5
0.924667,69.5,30.5
0.924333,69.5,30.5
0.924,69.5,30.5
0.923667,69.5,30.5
0.923333,70,30
0.923,70,30
0.922667,70,30
0.922333,70,30
0.922,70,30
0.921667,70,30
0.921333,70,30
0.921,70,30
0.920667,70,30
0.920333,70,30
0.92,70,30
0.919667,70,30
0.919333,70,30
0.919,70,30
0.918667,70,30
0.918333,70,30
0.918,70,30
0.917667,70,30
0.917333,70,30
0.917,70,30
0.916667,70,30
0.916333,70,30
0.916,70,30
0.915667,70,30
0.915333,70,30
0.915,70,30
0.914667,70,30
0.914333,70,30
0.914,70,30
0.913667,70,30
0.913333,70,30
0.913,70,30
0.912667,70,30
0.912333,70,30
0.912,70,30
0.911667,70,30
0.911333,70,30
0.911,70,30
0.910667,70,30
0.910333,70,30
0.91,70,30
0.909667,70,30
0.909333,70,30
0.909,70,30
0.908667,70,30
0.908333,70,30
0.908,70,30
0.907667,70,30
0.907333,70,30
0.907,70,30
0.906667,70,30
