S,tau,V
0,1,0
0.75,1,7.09634e-49
1.5,1,1.00312e-45
2.25,1,4.81022e-43
3,1,1.15326e-40
3.75,1,1.64776e-38
4.5,1,1.55428e-36
5.25,1,1.03574e-34
6,1,5.11787e-33
6.75,1,1.94495e-31
7.5,1,5.85013e-30
8.25,1,1.42544e-28
9,1,2.86834e-27
9.75,1,4.84511e-26
10.5,1,6.96752e-25
11.25,1,8.63563e-24
12,1,9.32552e-23
12.75,1,8.86e-22
13.5,1,7.47095e-21
14.25,1,5.63571e-20
15,1,3.83089e-19
15.75,1,2.3622e-18
16.5,1,1.3294e-17
17.25,1,6.86718e-17
18,1,3.27307e-16
18.75,1,1.44644e-15
19.5,1,5.95358e-15
20.25,1,2.292e-14
21,1,8.28543e-14
21.75,1,2.82271e-13
22.5,1,9.09392e-13
23.25,1,2.77942e-12
24,1,8.08288e-12
24.75,1,2.24283e-11
25.5,1,5.95354e-11
26.25,1,1.5155e-10
27,1,3.7079e-10
27.75,1,8.73803e-10
28.5,1,1.98737e-09
29.25,1,4.37054e-09
30,1,9.3098e-09
30.75,1,1.924e-08
31.5,1,3.86366e-08
32.25,1,7.54998e-08
33,1,1.43759e-07
33.75,1,2.67064e-07
34.5,1,4.84629e-07
35.25,1,8.60009e-07
36,1,1.49402e-06
36.75,1,2.54331e-06
37.5,1,4.2466e-06
38.25,1,6.96089e-06
39,1,1.12107e-05
39.75,1,1.77535e-05
40.5,1,2.76659e-05
41.25,1,4.24539e-05
42,1,6.41935e-05
42.75,1,9.57057e-05
43.5,1,0.000140772
44.25,1,0.000204396
45,1,0.000293113
45.75,1,0.000415361
46.5,1,0.000581908
47.25,1,0.000806339
48,1,0.00110562
48.75,1,0.0015007
49.5,1,0.00201723
50.25,1,0.00268629
51,1,0.0035452
51.75,1,0.00463836
52.5,1,0.00601819
53.25,1,0.007746
54,1,0.00989302
54.75,1,0.0125412
55.5,1,0.0157845
56.25,1,0.0197291
57,1,0.0244953
57.75,1,0.0302172
58.5,1,0.0370443
59.25,1,0.0451416
60,1,0.0546904
60.75,1,0.0658885
61.5,1,0.0789505
62.25,1,0.094108
63,1,0.111609
63.75,1,0.131719
64.5,1,0.154718
65.25,1,0.180903
66,1,0.210585
66.75,1,0.244089
67.5,1,0.281752
68.25,1,0.323924
69,1,0.370964
69.75,1,0.42324
70.5,1,0.481124
71.25,1,0.544999
72,1,0.615245
72.75,1,0.692248
73.5,1,0.776392
74.25,1,0.868058
75,1,0.967623
75.75,1,1.07546
76.5,1,1.19193
77.25,1,1.31739
78,1,1.45217
78.75,1,1.59662
79.5,1,1.75103
80.25,1,1.91572
81,1,2.09096
81.75,1,2.27701
82.5,1,2.47411
83.25,1,2.68249
84,1,2.90235
84.75,1,3.13386
85.5,1,3.37719
86.25,1,3.63246
87,1,3.89979
87.75,1,4.17926
88.5,1,4.47095
89.25,1,4.77489
90,1,5.0911
90.75,1,5.41959
91.5,1,5.76033
